  D1JS  [si32]  1276968960 (bytes 4c 1d 00 00)
  D1JV  [flt ]  0 (bytes 00 00 00 00)
  D1LC  [ui8 ]  0 (bytes 00)
  D1LI  [ui8 ]  0 (bytes 00)
  D1LR  [ui8 ]  1 (bytes 01)
  D1MI  [ui16]  0 (bytes 00 00)
  D1MP  [ui32]  0 (bytes 00 00 00 00)
  D1MV  [ui16]  0 (bytes 00 00)
  D1PI  [si8 ]  0 (bytes 00)
  D1PM  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1PR  [ui8 ]  0 (bytes 00)
  D1PS  [ui8 ]  255 (bytes ff)
  D1PT  [ui8 ]  0 (bytes 00)
  D1Pd  [hex_]  0 (bytes 00 00)
  D1Pe  [hex_]  0 (bytes 00 00)
  D1Pi  [ui16]  0 (bytes 00 00)
  D1Ps  [ui8 ]  255 (bytes ff)
  D1Pt  [ui8 ]  0 (bytes 00)
  D1Rc  [ui16]  0 (bytes 00 00)
  D1Rp  [ui16]  0 (bytes 00 00)
  D1ST  [ui8 ]  0 (bytes 00)
  D1SW  [ui8 ]  100 (bytes 64)
  D1St  [hex_]  0 (bytes 00 00)
  D1UI  [hex_]  1034925335 (bytes 3d af b5 17 61 14 a5 68 6c e6 d1 2b e7 0d 8c 59)
  D1VC  [ui16]  0 (bytes 00 00)
  D1VD  [flt ]  0 (bytes 00 00 00 00)
  D1VM  [ui16]  0 (bytes 00 00)
  D1VR  [ui16]  0 (bytes 00 00)
  D1VX  [ui16]  0 (bytes 00 00)
  D1Vb  [ui8 ]  0 (bytes 00)
  D1Vd  [hex_]  0 (bytes 00 00)
  D1Ve  [hex_]  0 (bytes 00 00)
  D1Vm  [ui8 ]  0 (bytes 00)
  D1Vn  [ui8 ]  0 (bytes 00)
  D1WS  [flag]  false (bytes 00)
  D1if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1lg  [hex_]  436452256 (bytes 1a 03 bb a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1li  [ui8 ]  4 (bytes 04)
  D1pd  [flag]  false (bytes 00)
  D1pi  [flag]  false (bytes 00)
  D1pr  [ui8 ]  0 (bytes 00)
  D1pt  [ui8 ]  0 (bytes 00)
  D2Ac  [hex_]  0 (bytes 00 00 00 00)
  D2Au  [ui8 ]  0 (bytes 00)
  D2BD  [ui8 ]  0 (bytes 00)
  D2BI  [ui16]  0 (bytes 00 00)
  D2CA  [ui16]  1792 (bytes 07 00)
